data
"""_id"",""_labels"",""name"",""_start"",""_end"",""_type""
""0"","":Person"",""巫"",,,
""1"","":Person"",""王"",,,
""2"","":Person"",""庄"",,,
""3"","":Person"",""朱"",,,
""4"","":Person"",""X"",,,
""5"","":Resource"",""Place"",,,
""6"","":Resource"",""Tool"",,,
""7"","":Resource"",""Capital"",,,
""8"","":Resource"",""Technique"",,,
""9"","":Resource"",""Labor"",,,
""10"","":Place"",""Cloude"",,,
""11"","":Cloude"",""Other-Ctrl"",,,
""12"","":Cloude"",""Self-Ctrl"",,,
""13"","":Superstructure"",""Labor-intensive industry"",,,
""14"","":TargetName"",""Cost"",,,
,,,""0"",""1"",""KNOWS""
,,,""1"",""2"",""KNOWS""
,,,""1"",""4"",""FATHER""
,,,""2"",""3"",""KNOWS""
,,,""3"",""4"",""KNOWS""
,,,""3"",""4"",""MOTHER""
,,,""4"",""0"",""KNOWS""
,,,""5"",""10"",""TYPEOF""
,,,""5"",""14"",""effect""
,,,""9"",""13"",""determine""
,,,""10"",""5"",""ISA""
,,,""10"",""11"",""TYPEOF""
,,,""10"",""12"",""TYPEOF""
,,,""11"",""10"",""ISA""
,,,""12"",""10"",""ISA""
"
